Unnamed: 0;DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;MÊS;ANO
289;2004-07-18;2004-07-24;NORTE;TOCANTINS;ETANOL HIDRATADO;67;R$/l;1.287;0.067;1.17;1.49;0.526;0.052;0.761;0.081;0.613;1.0722;0.106;7;2004
290;2004-07-18;2004-07-24;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;307;R$/l;1.197;0.111999999999999;0.879;1.47;0.231;0.094;0.966;0.094;0.7743;1.1975;0.097;7;2004
291;2004-07-18;2004-07-24;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1260;R$/l;1.269;0.102;0.997;1.875;0.318;0.08;0.951;0.111;0.5941;1.42;0.117;7;2004
292;2004-07-18;2004-07-24;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;974;R$/l;1.224;0.152;0.84;1.799;0.221;0.124;1.003;0.184;0.5195;1.2967;0.183;7;2004
293;2004-07-18;2004-07-24;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4069;R$/l;0.927;0.063;0.699;1.199;0.195;0.068;0.732;0.056;0.4757;1.0843;0.077;7;2004
294;2004-07-18;2004-07-24;SUL;PARANA;ETANOL HIDRATADO;770;R$/l;1.06;0.085;0.85;1.6;0.286;0.08;0.774;0.118;0.4357;1.02;0.152;7;2004
295;2004-07-18;2004-07-24;SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;699;R$/l;1.366;0.128;1.09;1.71;0.344;0.094;1.022;0.103;0.6443;1.2883;0.101;7;2004
296;2004-07-18;2004-07-24;SUL;SANTA CATARINA;ETANOL HIDRATADO;516;R$/l;1.317;0.069;1.128;1.5;0.356;0.052;0.961;0.103;0.5625;1.2039;0.107;7;2004
297;2004-07-25;2004-07-31;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;143;R$/l;1.448;0.04;1.146;1.49;0.513;0.0279999999999999;0.935;0.11;0.508;1.1802;0.118;7;2004
298;2004-07-25;2004-07-31;CENTRO OESTE;GOIAS;ETANOL HIDRATADO;382;R$/l;1.266;0.098;1.04;1.52;0.395;0.077;0.871;0.093;0.68545;1.209;0.107;7;2004
299;2004-07-25;2004-07-31;CENTRO OESTE;MATO GROSSO;ETANOL HIDRATADO;197;R$/l;1.46;0.1;1.23;1.74;0.399;0.068;1.061;0.098;0.82369;1.3095;0.092;7;2004
300;2004-07-25;2004-07-31;CENTRO OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;175;R$/l;1.395;0.066;1.22;1.599;0.419;0.047;0.976;0.108;0.6321;1.29;0.111;7;2004
301;2004-07-25;2004-07-31;NORDESTE;ALAGOAS;ETANOL HIDRATADO;101;R$/l;1.325;0.04;1.23;1.4;0.208;0.03;1.117;0.071;0.9061;1.3;0.064;7;2004
302;2004-07-25;2004-07-31;NORDESTE;BAHIA;ETANOL HIDRATADO;420;R$/l;1.476;0.115999999999999;1.18;2.05;0.42;0.079;1.056;0.182;0.61;1.4355;0.172;7;2004
303;2004-07-25;2004-07-31;NORDESTE;CEARA;ETANOL HIDRATADO;274;R$/l;1.518;0.153;1.17;1.8;0.29;0.100999999999999;1.228;0.099;0.8556;1.4564;0.081;7;2004
304;2004-07-25;2004-07-31;NORDESTE;MARANHAO;ETANOL HIDRATADO;100;R$/l;1.639;0.133;1.36;2.0;0.375;0.081;1.264;0.167;0.9614;1.8435;0.132;7;2004
305;2004-07-25;2004-07-31;NORDESTE;PARAIBA;ETANOL HIDRATADO;126;R$/l;1.415;0.081;1.23;1.77;0.27;0.057;1.145;0.086;0.9108;1.3357;0.075;7;2004
306;2004-07-25;2004-07-31;NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;421;R$/l;1.349;0.089;1.09;1.7;0.213;0.066;1.136;0.087;0.836;1.4598;0.077;7;2004
307;2004-07-25;2004-07-31;NORDESTE;PIAUI;ETANOL HIDRATADO;94;R$/l;1.647;0.116999999999999;1.45;1.78;0.457;0.071;1.19;0.123;0.9758;1.3758;0.103;7;2004
308;2004-07-25;2004-07-31;NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;116;R$/l;1.412;0.073;1.2;1.6;0.291;0.052;1.121;0.127;0.8287;1.3359;0.113;7;2004
309;2004-07-25;2004-07-31;NORDESTE;SERGIPE;ETANOL HIDRATADO;47;R$/l;1.381;0.044;1.279;1.45;0.248;0.032;1.133;0.118;0.682;1.2838;0.104;7;2004
